iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.820933,R3-R2,r3_r2,1,r3,r2,10.0.23.1,35,True,37.160092,0.968,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.868464,R3-R2,r3_r2,1,r3,r2,10.0.23.1,36,True,30.698265,0.025,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.913703,R3-R2,r3_r2,1,r3,r2,10.0.23.1,37,True,23.373271,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.947226,R3-R2,r3_r2,1,r3,r2,10.0.23.1,38,True,28.384594,0.025,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.985997,R3-R2,r3_r2,1,r3,r2,10.0.23.1,39,True,39.9398,0.029,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.036009,R3-R2,r3_r2,1,r3,r2,10.0.23.1,40,True,37.135363,0.022,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.083589,R3-R2,r3_r2,1,r3,r2,10.0.23.1,41,True,27.488234,0.02,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.121307,R3-R2,r3_r2,1,r3,r2,10.0.23.1,42,True,30.873766,0.027,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.166297,R3-R2,r3_r2,1,r3,r2,10.0.23.1,43,True,31.621376,0.097,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.208479,R3-R2,r3_r2,1,r3,r2,10.0.23.1,44,True,28.30591,0.035,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.247233,R3-R2,r3_r2,1,r3,r2,10.0.23.1,45,True,26.307379,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.283814,R3-R2,r3_r2,1,r3,r2,10.0.23.1,46,True,32.37506,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.327002,R3-R2,r3_r2,1,r3,r2,10.0.23.1,47,True,29.897949,0.045,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.367233,R3-R2,r3_r2,1,r3,r2,10.0.23.1,48,True,41.688857,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.419000,R3-R2,r3_r2,1,r3,r2,10.0.23.1,49,True,34.336194,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.463998,R3-R2,r3_r2,1,r3,r2,10.0.23.1,50,True,31.957859,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.496011,R3-R6,r3_r6,3,r3,r6,10.0.56.2,1,True,39.192373,0.061,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.548162,R3-R6,r3_r6,3,r3,r6,10.0.56.2,2,True,41.617439,6.61,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.599859,R3-R6,r3_r6,3,r3,r6,10.0.56.2,3,True,33.666619,6.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.643598,R3-R6,r3_r6,3,r3,r6,10.0.56.2,4,True,38.745599,3.14,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.693014,R3-R6,r3_r6,3,r3,r6,10.0.56.2,5,True,29.258462,0.04,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.733112,R3-R6,r3_r6,3,r3,r6,10.0.56.2,6,True,38.986951,0.04,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.782443,R3-R6,r3_r6,3,r3,r6,10.0.56.2,7,True,38.232573,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.831099,R3-R6,r3_r6,3,r3,r6,10.0.56.2,8,True,27.043101,0.043,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:17.868420,R3-R6,r3_r6,3,r3,r6,10.0.56.2,9,True,27.284733,0.039,0.0
